iso3c	year	voter_turnout	vap_turnout	lne_turnout	lne_type	lne_type2	lne_parl	lne_fo	concurrent	concurrent_parl	concurrent_else	tt_next	ne_days0	ne_count	ne_count2	ne_months	first_ep	cv
AUT	1996	67.72901140736197	63.64	85.98075379774168	parliament	parliament	1	1	0	0	0	18.433333333333334	301	5	5	10.033333333333333	1	0
AUT	1999	49.3998112065339	46.11	85.98075379774168	president	president	0	0	0	0	0	3.7333333333333334	420	4	4	14	0	0
AUT	2004	42.429893626007974	39.95	84.2652596357063	president	president	0	0	0	0	0	28	49	3	3	1.6333333333333333	0	0
AUT	2009	45.972683871042776	41.32	78.80729670056208	parliament	parliament	1	1	0	0	0	10.733333333333333	252	2	2	8.4	0	0
AUT	2014	45.385706365798406	39.77	74.90882332118062	parliament	parliament	1	1	0	0	0	23.333333333333332	238	3	3	7.933333333333334	0	0
AUT	2019	59.76552704203765	51.07	80.00135291508677	parliament	parliament	1	1	0	0	0	4.2	588	4	4	19.6	0	0
BEL	1979	91.35584532151944	86.69	94.91151947137075	parliament	parliament	1	1	0	0	0	29.4	175	4	4	5.833333333333333	1	1
BEL	1984	92.09147839225443	87.35	94.54165240511549	subnational	subnational	0	0	0	0	0	16.1	616	2	2	20.533333333333335	0	1
BEL	1989	90.73407970634726	84.98	93.36811461212618	subnational	subnational	0	0	0	0	0	29.633333333333333	252	3	3	8.4	0	1
BEL	1994	90.6626825552247	84.03	92.70825110666597	parliament	parliament	1	1	0	0	0	3.966666666666667	931	1	1	31.033333333333335	0	1
BEL	1999	91.04994591108502	84.51	90.55692245512472	subnational	subnational	0	0	1	1	1	16.1	0	2	2	49.46666666666667	0	1
BEL	2004	90.80731014904187	84.56	91.6313368876445	subnational	subnational	0	0	1	0	1	28.233333333333334	0	2	2	13.066666666666666	0	1
BEL	2009	90.38686743889131	83.94	91.07968919266874	parliament	parliament	1	1	0	0	0	1	728	2	2	24.266666666666666	0	1
BEL	2014	89.637588009542	86.82	89.37068535816209	subnational	subnational	0	0	1	1	1	53.43333333333333	0	3	3	19.6	0	1
BEL	2019	88.47335062172341	77.6	88.38014429750129	subnational	subnational	0	0	1	1	1	60.733333333333334	0	1	1	7.466666666666667	0	1
BGR	2007	29.22474398751771	31.27	55.76292069815819	president	president	0	0	0	0	0	5.366666666666666	203	5	3	6.766666666666667	1	0
BGR	2009	38.919469181437805	43.59	55.76292069815819	subnational	subnational	0	0	0	0	0	0.9333333333333333	581	6	4	19.366666666666667	0	0
BGR	2014	36.09679520947981	41.07	52.49367706951321	parliament	parliament	1	1	0	0	0	4.433333333333334	378	5	4	12.6	0	0
BGR	2019	33.32282764393536	36.16	52.574397253823975	parliament	parliament	1	1	0	0	0	5.133333333333334	791	6	4	26.366666666666667	0	1
